Date,N,xRet,sdxRet,rolVol_xRet_bk,rolVol_xRet,vol_EWMA,NBER,log_xRet,X.xRet,X.dp,X.dy,X.ep,X.de,X.svar,X.bm,X.ntis,X.tbl,X.lty,X.ltr,X.tms,X.dfy,X.dfr,X.infl,X.infl_lag
01.Jul.40,164,3.299,0.337731384,9.768117978,10.19824061,10.66524384,0,3.245431622,3.299,-2.751750788,-2.721161329,-2.279215975,-0.472534813,0.001323675,0.757888061,0.008109189,0.05,2.24,0.52,2.19,1.92,-0.31,-0.709219858,0.714285714
01.Aug.40,165,3.5521,0.383036916,9.273518686,9.678097076,9.92163083,0,3.49081123,3.5521,-2.767551431,-2.741650702,-2.292531632,-0.475019799,0.003560843,0.741775295,0.009086463,0.04,2.23,0.28,2.19,1.91,-0.21,0,-0.709219858
01.Sep.40,166,1.4221,0.155853491,9.124595088,9.516770152,9.257544254,0,1.412083014,1.4221,-2.766975985,-2.757550845,-2.289537378,-0.477438608,0.002943837,0.720747889,0.009646939,0.05,2.15,1.1,2.1,1.84,-0.18,0,0
01.Oct.40,167,4.1468,0.553617143,7.49037499,7.766276945,8.590773363,0,4.063125633,4.1468,-2.805619248,-2.766975985,-2.337483033,-0.468136215,0.001465061,0.710199837,0.009414833,0.02,2.14,0.31,2.12,1.77,0.18,0,0
01.Nov.40,168,-2.9431,-0.388797666,7.569747092,7.894306118,8.070497045,0,-2.987278153,-2.9431,-2.762274519,-2.805619248,-2.303528045,-0.458746475,0.005914211,0.73521495,0.010157652,0.02,1.99,2.05,1.97,1.73,-1.42,0,0
01.Dec.40,169,0.2927,0.038887318,7.526875512,7.854231632,7.629690345,0,0.292272468,0.2927,-2.759442993,-2.762274519,-2.310175262,-0.449267731,0.000507842,0.72904751,0.012589189,0.02,1.94,0.67,1.92,1.74,-0.9,0.714285714,0
01.Jan.41,170,-4.5455,-0.607421377,7.483273013,7.795989758,7.078627245,0,-4.652525427,-4.5455,-2.705075979,-2.754480699,-2.257604132,-0.447471847,0.001855112,0.770160316,0.010853414,0.02,2.13,-2.01,2.11,1.63,2.07,0,0.714285714
01.Feb.41,171,-0.4629,-0.061504131,7.526323675,7.834713492,6.847510052,0,-0.46402121,-0.4629,-2.685128924,-2.70013671,-2.239430468,-0.445698457,0.002751814,0.783799295,0.010770234,0.04,2.13,0.2,2.09,1.64,-0.14,0,0
01.Mar.41,172,0.8772,0.116680774,7.51794808,7.811704609,6.358135455,0,0.873288005,0.8772,-2.684239552,-2.680215402,-2.240308163,-0.443931389,0.001364626,0.804269883,0.010060575,0.11,2.06,0.96,1.95,1.58,-1.18,0.709219858,0
01.Apr.41,173,-6.2052,-0.826036348,7.512018107,7.801110974,5.899877554,0,-6.406738501,-6.2052,-2.611862075,-2.679350055,-2.163430443,-0.448431632,0.001767101,0.854249611,0.010481535,0.1,1.96,1.29,1.86,1.51,-0.51,0.704225352,0.709219858
01.May.41,174,1.3184,0.170742806,7.721555191,7.952860921,6.050024358,0,1.309784747,1.3184,-2.611282164,-2.606994912,-2.158415302,-0.452866862,0.001574462,0.849178353,0.009923603,0.11,1.95,0.27,1.84,1.51,0.22,0.699300699,0.704225352
01.Jun.41,175,5.8851,1.509898789,3.897678468,3.99397121,5.63185867,0,5.718435795,5.8851,-2.658535137,-2.606440025,-2.201293759,-0.457241378,0.001180909,0.801526718,0.008967507,0.12,1.91,0.66,1.79,1.54,-0.03,2.083333333,0.699300699
01.Jul.41,176,5.6806,1.617595865,3.511754773,3.622136196,5.566726477,0,5.523503067,5.6806,-2.707088681,-2.653716331,-2.224546317,-0.482542364,0.001212974,0.766363848,0.00902986,0.12,1.91,0.22,1.79,1.54,0.41,0,2.083333333
01.Aug.41,177,-0.1213,-0.032286943,3.756936634,3.844682237,5.435860064,0,-0.121361484,-0.1213,-2.693591639,-2.702291549,-2.186598708,-0.506992931,0.00051318,0.774542886,0.01072502,0.13,1.9,0.18,1.77,1.53,0.16,1.360544218,0
01.Sep.41,178,-0.7451,-0.206143999,3.614463696,3.746410533,5.064394259,0,-0.747814674,-0.7451,-2.679062664,-2.688818839,-2.148434413,-0.530628251,0.000975442,0.778268412,0.010283855,0.1,1.93,-0.12,1.83,1.55,0.6,1.342281879,1.360544218
01.Oct.41,179,-6.4602,-1.795741818,3.597510474,3.747283839,4.725866782,0,-6.678317182,-6.4602,-2.603216614,-2.674312535,-2.08577736,-0.517439254,0.001310096,0.837718554,0.011687208,0.09,1.82,1.4,1.73,1.55,-1.06,1.324503311,1.342281879
01.Nov.41,180,-2.4916,-0.643608719,3.87129622,3.991396105,5.107439383,0,-2.523165785,-2.4916,-2.555470142,-2.598487527,-2.051270665,-0.504199477,0.001285898,0.860805861,0.010364624,0.28,1.86,-0.29,1.58,1.56,-0.65,0.653594771,1.324503311
01.Dec.41,181,-3.8943,-1.012875669,3.844795682,3.969565715,4.833409574,0,-3.971750687,-3.8943,-2.504663248,-2.550764722,-2.013752934,-0.490910314,0.006680814,0.889509733,0.010342826,0.33,2.04,-1.77,1.71,1.58,1.83,0.649350649,0.653594771
01.Jan.42,182,2.2076,0.551226673,4.004886029,4.068522351,4.762972794,0,2.183153403,2.2076,-2.527812255,-2.514097754,-2.062558755,-0.4652535,0.002204953,0.902111324,0.008935182,0.27,2.47,0.69,2.2,1.46,-0.63,1.290322581,0.649350649
01.Feb.42,183,-1.7747,-0.462509133,3.83711342,3.989296452,4.476745203,0,-1.790455975,-1.7747,-2.51204648,-2.537335184,-2.073637695,-0.438408785,0.001260825,0.926064928,0.009350153,0.25,2.47,0.11,2.22,1.44,-0.19,0.636942675,1.290322581
01.Mar.42,184,-6.4168,-1.658578164,3.868855951,4.010063312,4.26445295,0,-6.631244972,-6.4168,-2.451754442,-2.521662417,-2.041470048,-0.410284395,0.003106114,1.03486386,0.010120462,0.25,2.44,0.92,2.19,1.44,-0.29,1.265822785,0.636942675
01.Apr.42,185,-3.8088,-0.889498753,4.281962156,4.326463214,4.717817656,0,-3.882834938,-3.8088,-2.421674465,-2.466353242,-2.016209356,-0.405465108,0.002440975,1.080230729,0.011004819,0.32,2.46,-0.29,2.14,1.43,0.35,0.625,1.265822785
01.May.42,186,7.0039,1.73290596,4.041708068,4.118960616,4.609705467,0,6.767546572,7.0039,-2.498495494,-2.43648955,-2.098017927,-0.400477567,0.001592389,1.021015067,0.010525173,0.37,2.43,0.75,2.06,1.42,-0.55,1.242236025,0.625
01.Jun.42,187,2.3344,0.518391651,4.503158946,4.683736597,4.955945213,0,2.307113493,2.3344,-2.531770959,-2.513533371,-2.136458222,-0.395312737,0.001200468,0.99670989,0.010198306,0.37,2.44,0.03,2.07,1.48,0.31,0,1.242236025
01.Jul.42,188,3.5731,0.845805216,4.22449511,4.350076975,4.616262118,0,3.509711116,3.5731,-2.58302399,-2.552179315,-2.181001397,-0.402022593,0.002088658,0.974271661,0.008486272,0.38,2.44,0.18,2.06,1.47,0.02,0.613496933,0
01.Aug.42,189,1.5046,0.373576771,4.027552343,4.104340843,4.403644763,0,1.49294861,1.5046,-2.610844013,-2.603859119,-2.201876098,-0.408967915,0.000627032,0.968682404,0.007152648,0.38,2.44,0.38,2.06,1.47,-0.03,0.609756098,0.613496933
01.Sep.42,190,3.2149,0.79365482,4.050753448,4.158248168,4.091071218,0,3.163369495,3.2149,-2.65845326,-2.632120886,-2.242292863,-0.416160397,0.000472522,0.944001466,0.006243538,0.38,2.44,0.03,2.06,1.46,0.17,0,0.609756098
01.Oct.42,191,6.7567,1.628066718,4.150137046,4.312705627,3.904942271,0,6.536324594,6.7567,-2.73713141,-2.674713781,-2.273294296,-0.463837114,0.001273596,0.907488987,0.004426278,0.38,2.44,0.24,2.06,1.44,-0.18,1.212121212,0
01.Nov.42,192,-0.4692,-0.111999712,4.189296488,4.31684671,4.230210048,0,-0.470162817,-0.4692,-2.739764177,-2.753660712,-2.228938553,-0.510825624,0.000992057,0.899563319,0.005095706,0.38,2.47,-0.35,2.09,1.46,0.41,0.598802395,1.212121212
01.Dec.42,193,5.7237,1.386114929,4.129311271,4.219985747,3.974496318,0,5.56426645,5.7237,-2.806949208,-2.756571295,-2.249757664,-0.557191544,0.000791391,0.862646566,0.001812004,0.38,2.46,0.49,2.08,1.47,0,0.595238095,0.598802395
01.Jan.43,194,7.2134,1.676289884,4.30319366,4.149222104,4.156421929,0,6.963087646,7.2134,-2.876146767,-2.806949208,-2.306096504,-0.570050263,0.000744868,0.821306116,0.002088305,0.38,2.45,0.33,2.07,1.37,0.16,0,0.595238095
01.Feb.43,195,5.8203,1.228462502,4.737873555,4.450613876,4.476178231,0,5.655569078,5.8203,-2.925528015,-2.876146767,-2.342772819,-0.582755196,0.000819597,0.7940791,0.002569991,0.38,2.46,-0.05,2.08,1.31,0.11,0,0
01.Mar.43,196,5.9104,1.181891539,5.000797286,4.39363581,4.489100129,0,5.740653083,5.9104,-2.976912214,-2.925528015,-2.381620824,-0.595291391,0.001368776,0.783480999,0.00189186,0.38,2.47,0.09,2.09,1.25,0.11,1.775147929,0
01.Apr.43,197,0.3288,0.066444223,4.948511458,3.394762792,4.53064936,0,0.328162347,0.3288,-2.977775399,-2.976912214,-2.373181616,-0.604593783,0.002492194,0.78978447,0.001251046,0.38,2.46,0.48,2.08,1.2,0.01,1.162790698,1.775147929
01.May.43,198,5.2398,1.085800168,4.825749854,2.697887575,4.214237278,0,5.105643739,5.2398,-3.0216643,-2.977775399,-2.407853861,-0.613810438,0.00108955,0.757897719,0.000946183,0.38,2.44,0.5,2.06,1.17,-0.02,0.574712644,1.162790698
01.Jun.43,199,2.1389,0.461416513,4.635508141,2.568833265,4.268044223,0,2.115718518,2.1389,-3.041288805,-3.0216643,-2.418345883,-0.622942922,0.001069158,0.746268657,0.001200105,0.38,2.44,0.18,2.06,1.16,0.3,0,0.574712644
01.Jul.43,200,-5.3392,-1.153762873,4.627640674,2.580460954,3.979399121,0,-5.485329442,-5.3392,-2.979877464,-3.035655549,-2.368649892,-0.611227571,0.002433361,0.779599271,0.017823643,0.38,2.45,-0.01,2.07,1.12,0.2,-0.571428571,0
01.Aug.43,201,1.5932,0.334196471,4.767255601,3.718678367,4.347066712,0,1.580171454,1.5932,-2.984495642,-2.974274088,-2.384981557,-0.599514084,0.001706636,0.783194261,0.013954319,0.38,2.45,0.21,2.07,1.12,-0.02,-0.574712644,-0.571428571
